model,family,outcome,parameter,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,nobs,df_absorbed,week_clusters,effects,sample_flag,covariance
heterogeneity_peak_negative_price_any,heterogeneity_peak,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.03714290334300433,0.0014759453466246636,25.16550048953124,0.0,0.034250081389555376,0.04003572529645329,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_negative_price_any,heterogeneity_peak,negative_price_any,log_demand_centered,-0.5728682167160484,0.020277441095493048,-28.25150441903523,0.0,-0.6126115763837743,-0.5331248570483225,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_negative_price_any,heterogeneity_peak,negative_price_any,log_demand_centered_sq,-0.12025582294106998,0.005027614521643423,-23.919061897721,0.0,-0.13010984205834253,-0.11040180382379744,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_negative_price_any,heterogeneity_peak,negative_price_any,renewable_share_ws_10pp_winsor_p999_x_peak,-0.003636369739104725,0.00112431363427675,-3.234301913846249,0.0012196560085004915,-0.005840000904198854,-0.0014327385740105954,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_intrahour_price_sd_asinh,heterogeneity_peak,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999,-0.023430381005241748,0.004311951545261149,-5.433822889543326,5.524081414520765e-08,-0.0318817156843108,-0.014979046326172694,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_intrahour_price_sd_asinh,heterogeneity_peak,intrahour_price_sd_asinh,log_demand_centered,0.8541249319720566,0.053898304289475715,15.846972242108825,0.0,0.7484853849123796,0.9597644790317337,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_intrahour_price_sd_asinh,heterogeneity_peak,intrahour_price_sd_asinh,log_demand_centered_sq,0.21294146210134535,0.01407449143434582,15.129602593078905,0.0,0.1853557537971619,0.2405271704055288,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_intrahour_price_sd_asinh,heterogeneity_peak,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999_x_peak,-0.001280375852016912,0.0028047666394948696,-0.4564999576034261,0.6480311308157765,-0.0067776596962915,0.004216907992257676,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_price_asinh,heterogeneity_season,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.21572180088720327,0.018271668964977193,-11.806354487961388,0.0,-0.25153388921017134,-0.17990971256423519,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_price_asinh,heterogeneity_season,price_asinh,log_demand_centered,5.389850939671337,0.18572096963863952,29.021229805974322,0.0,5.025841730612501,5.7538601487301735,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_price_asinh,heterogeneity_season,price_asinh,log_demand_centered_sq,0.8837085841903968,0.03677112088185532,24.032680076022974,0.0,0.8116379577314973,0.9557792106492963,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_price_asinh,heterogeneity_season,price_asinh,renewable_share_ws_10pp_winsor_p999_x_MAM,-0.04473202298558379,0.025791737758615547,-1.734354753612574,0.08285711453809075,-0.09528328857521427,0.00581924260404669,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_season_price_asinh,heterogeneity_season,price_asinh,renewable_share_ws_10pp_winsor_p999_x_JJA,-0.14213918749142593,0.027235519967349263,-5.218890172165853,1.802258726701922e-07,-0.19552023595843934,-0.08875813902441251,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
